state_fips,county_fips,year,race,age_adjusted_rate,weight
48,307,2011,0,5494.9,90.97252332435328
48,307,2010,0,4582.9,90.70832376358854
48,307,2009,0,5171.8,91.4603739331958
48,307,2008,0,5234,90.5704145954958
48,307,2007,0,5797,90.02777349240623
48,307,2006,0,4586.5,90.4599358832406
48,307,2005,0,5001.1,90.09439494219383
48,307,2004,0,6003.8,90.35485598461214
48,307,2003,0,5770.2,89.62700485902673
48,307,2002,0,5620.5,89.03370148432559
48,307,2001,0,6007.9,89.63258336118624
48,307,2000,0,6644.8,90.41570660012562
48,307,1999,0,7119.3,91.01648202386203
48,309,2017,0,4515.9,0
48,309,2016,0,4301.7,497.92971391552845
48,309,2015,0,4499.3,495.1797653378013
48,309,2014,0,4587.9,492.9645017645794
48,309,2013,0,4529.2,491.3573038024366
48,309,2012,0,4548.6,489.26986418540025
48,309,2011,0,4295,487.63100803784005
48,309,2010,0,4669.7,485.7375834748635
48,309,2009,0,4580,481.3304478214525
48,309,2008,0,5172.2,478.57810229888287
48,309,2007,0,4901.7,476.17328778502474
48,309,2006,0,5153.9,473.7636541567958
48,309,2005,0,5086.7,472.01059310146843
48,309,2004,0,5027.1,470.48166808070215
48,309,2003,0,5348.9,467.7007590329526
48,309,2002,0,5106.6,465.37189429530446
48,309,2001,0,5243.5,463.7876669339106
48,309,2000,0,5252.8,462.5656710133168
48,309,1999,0,5344.3,459.9434747879352
48,311,2016,0,NA,28.35489375751565
48,311,2015,0,NA,28.722813232690143
48,311,2014,0,NA,28.26658805020514
48,311,2013,0,NA,27.622454633866266
48,311,2012,0,NA,27.110883423451916
48,311,2011,0,NA,26.49528259898354
48,311,2010,0,NA,26.70205984563738
48,311,2009,0,NA,26.43860813280457
48,311,2008,0,NA,27.129319932501073
48,311,2007,0,NA,27.80287754891569
48,311,2006,0,NA,27.65863337187866
48,311,2005,0,NA,28.089143810376278
48,311,2004,0,NA,27.110883423451916
48,311,2003,0,NA,28.30194339616981
48,311,2002,0,NA,28.19574435974337
48,311,2001,0,NA,28.61817604250837
48,311,2000,0,NA,29.03446228191595
48,311,1999,0,NA,28.844410203711913
48,313,2016,0,4504.4,118.26664787673657
48,313,2015,0,4426.3,117.96609682446902
48,313,2014,0,5819.9,117.51170154499508
48,313,2013,0,5073.5,117.41379816699569
48,313,2012,0,4797.7,117.11105840184351
48,313,2011,0,5161.5,117.19641632746284
48,313,2010,0,4186.1,117.23054209547954
48,313,2009,0,5712.1,116.11632098891181
48,313,2008,0,5311.7,115.49891774384729
48,313,2007,0,4838.9,115.5551816233266
48,313,2006,0,5141.6,115.16944039110375
48,313,2005,0,4823.3,114.61239025515522
48,313,2004,0,5751.1,114.65600725648875
48,313,2003,0,5997.6,113.96929411029973
48,313,2002,0,4497,113.1238259607586
48,313,2001,0,5475.7,116.96153213770756
48,313,2000,0,6057.2,113.87273598188462
48,313,1999,0,4577.5,112.942463227964
48,315,2017,0,5003.8,0
48,315,2016,0,5337.1,100.7323185477233
48,315,2015,0,5608.1,100.70749723828906
48,315,2014,0,5517.1,100.56838469419701
48,315,2013,0,5920.6,101.1632344283238
48,315,2012,0,5278.3,101.57263410978372
48,315,2011,0,5082.4,102.17631819555841
48,315,2010,0,5708.4,102.45974819410792
48,315,2009,0,5471.4,103.29085148259743
48,315,2008,0,4748.8,103.67256146155549
48,315,2007,0,5189.5,104.64702575802143
48,315,2006,0,4698.2,104.84273937664925
48,315,2005,0,5260.2,104.78549517943789
48,315,2004,0,4367.2,104.89995233554684
48,315,2003,0,5517,105.45141061171255
48,315,2002,0,4728.6,105.03332804400706
48,315,2001,0,5556.8,105.24732775705044
48,315,2000,0,5342,104.64224768228175
48,315,1999,0,4840.1,104.34557968596465
48,317,2016,0,5189.9,75.65051222562872
48,317,2015,0,5983,75.65051222562872
48,317,2014,0,4545.4,74.19568720619817
48,317,2013,0,5168.3,72.78736154031138
48,317,2012,0,3813.2,70.73895673530957
48,317,2011,0,5110.7,70.08566187174092
48,317,2010,0,4432.6,69.39020103732227
48,317,2009,0,5366.2,68.62943974709395
48,317,2008,0,3683.2,67.512961718473
48,317,2007,0,4731.8,67.03730304837748
48,317,2006,0,6923.3,66.65583245298194
48,317,2005,0,6652.4,66.68583057891684
48,317,2004,0,7085.7,66.31741852635702
48,317,2003,0,7212,67.47592163134935
48,317,2002,0,4881.5,68.22023160324215
48,317,2001,0,6897.3,68.53466276272175
48,317,2000,0,7941.5,68.70225614927067
48,317,1999,0,5188.1,69.41901756723442
48,319,2016,0,4146,64.11708040764177
48,319,2015,0,3127.7,63.36402764976355
48,319,2014,0,2752.6,63.733821476512766
48,319,2013,0,4459.7,63.96092557178953
48,319,2012,0,3465.3,63.57672530100933
48,319,2011,0,3700.7,63.45864795282043
48,319,2010,0,4587.5,63.37191807101944
48,319,2009,0,3423.2,63.103090257134
48,319,2008,0,4186,62.25752966509352
48,319,2007,0,6773,62.42595614005443
48,319,2006,0,4072.6,62.14499175315739
48,319,2005,0,5123.6,61.74949392505172
48,319,2004,0,4462.6,61.73329733620261
48,319,2003,0,4019.5,61.335144900782616
48,319,2002,0,6102.8,61.032778078668514
48,319,2001,0,5118,61.180062111769715
48,319,2000,0,4088.5,61.106464469808756
48,319,1999,0,5509.3,60.909769331364245
48,321,2017,0,4925.8,0
48,321,2016,0,5296.3,192.8393113449641
48,321,2015,0,5068.3,191.93748982416125
48,321,2014,0,4449,191.04188022525324
48,321,2013,0,4700.1,191.08375127153016
48,321,2012,0,4952.2,191.2066944434739
48,321,2011,0,4077.5,191.57505056765612
48,321,2010,0,5117.9,191.58288023724876
48,321,2009,0,4791.7,191.25637244285483
48,321,2008,0,5224,191.59331929897763
48,321,2007,0,5289.3,190.9240686765291
